Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating,"Return on equity %, Trailing 12 months","Return on assets %, Trailing 12 months","Return on invested capital %, Trailing 12 months","Gross margin %, Annual","Operating margin %, Annual",Price to book ratio,Price to sales ratio,"Price to earning to growth, Trailing 12 months",Price to cash flow ratio,Enterprise value,Enterprise value - Currency,"Enterprise value to revenue ratio, Trailing 12 months","Enterprise value to EBITDA ratio, Trailing 12 months","Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share basic, Trailing 12 months","Earnings per share basic, Trailing 12 months - Currency","Earnings per share reported, Annual","Earnings per share reported, Annual - Currency","Price to earning to growth, Trailing 12 months","Earnings per share diluted growth %, Annual YoY","Earnings per share diluted growth %, Quarterly YoY","Earnings per share diluted growth %, Quarterly QoQ","Earnings per share diluted growth %, TTM YoY","Earnings per share estimate, Annual","Earnings per share estimate, Annual - Currency","Earnings per share estimate, Quarterly","Earnings per share estimate, Quarterly - Currency","Earnings per share estimate, Semi-annual","Earnings per share estimate, Semi-annual - Currency","Total revenue, Annual","Total revenue, Annual - Currency","Net income, Annual","Net income, Annual - Currency","EBITDA, Trailing 12 months","EBITDA, Trailing 12 months - Currency","Revenue growth %, Annual YoY","Revenue growth %, Quarterly YoY","Revenue growth %, Quarterly QoQ","Net income growth %, Annual YoY","Free cash flow, Annual","Free cash flow, Annual - Currency","Operating cash flow per share, Trailing 12 months","Operating cash flow per share, Trailing 12 months - Currency","Total debt, Quarterly","Total debt, Quarterly - Currency","Debt to equity ratio, Quarterly","Debt to EBITDA ratio, Annual","Interest coverage, Trailing 12 months","Current ratio, Quarterly","Quick ratio, Quarterly","Dividend yield %, Trailing 12 months",Price to earnings ratio,"Net income, Trailing 12 months","Net income, Trailing 12 months - Currency","Cash & equivalents, Annual","Cash & equivalents, Annual - Currency",Total common shares outstanding,Free float %
RELIANCE,Reliance Industries Limited,1580.5,INR,0.643148242485985,1946021,0.25268659041275343,20850834529515,INR,61.4137,INR,22.363154192991782,0.356957424714434,Energy minerals,Strong buy,9.7960020816475,4.31263685211656,7.21856156875553,22.2121476496126,11.8963046052222,2.437980506213295,2.0844881239280157,1.1211558668600736,,24092524529515,INR,2.4101466173465353,13.657042094605778,61.4137,INR,61.4137,INR,51.5,INR,1.1211558668600736,100.07852680601934,9.669196643763431,-32.70905290175102,22.363154192991782,61.494114,INR,14.632752,INR,31.512752,INR,9628200000000,INR,696480000000,INR,1764110000000,INR,7.094114728916701,9.97171054052303,4.5113121429040515,0.03878140216314043,141570000000,INR,,,3745930000000,INR,0.426993662228707,2.2041019585390873,4.637668435317021,1.10030217453911,0.753192605105589,0.356957424714434,25.735300104048445,831060000000,INR,523420000000,INR,13532500000,50.1398
HDFCBANK,HDFC Bank Limited,993.4,INR,0.2219531880548761,1002182,0.05821905141313832,15241466906940,INR,47.03,INR,3.7617209045780435,1.11032603209852,Finance,Strong buy,14.1174876043126,1.669874230957,6.31783952064897,,20.2093636525491,2.8090428558312053,3.1449231105794295,5.601034904406808,,20114597606940,INR,4.1552363753838994,,47.03,INR,47.26,INR,44,INR,5.601034904406808,2.64949516496018,9.145556032632042,20.359848484848484,3.7617209045780435,48.741551,INR,11.51,INR,23.91,INR,4746688300000,INR,707922500000,INR,,,18.41918443915142,-2.3844786217710108,-10.893497627334025,10.505769095083453,1394358900000,INR,,,5995072400000,INR,1.10339958736851,,,,,1.11032603209852,21.122687646183287,723600700000,INR,,,15384600000,99.83940000000001
BHARTIARTL,Bharti Airtel Limited,2116.2,INR,0.5034194528875338,396450,0.08112144644787513,11966534073145,INR,63.3133,INR,212.82820297445522,0.761959187561016,Communications,Buy,37.6221000774061,7.82714031141956,13.8429225200608,36.5165921708909,23.9799705408324,10.94093317856857,6.571025571987458,0.15583098040448276,12.881244466620156,14234623073145,INR,7.314304029856613,13.058628301457265,63.3133,INR,63.3133,INR,39.26,INR,0.15583098040448276,337.6775010355042,88.74653036355018,14.18639416775883,212.82820297445522,48.750377,INR,10.993828,INR,23.056947,INR,1729852000000,INR,335561000000,INR,1090055000000,INR,15.33699954127951,25.732459196639766,5.423896034579663,349.39199142895404,434098000000,INR,164.285368970663,INR,2080097000000,INR,1.7658468878399902,2.454186630764795,2.758894732681371,0.413465878614013,0.411063015313779,0.761959187561016,33.42425683071329,385426000000,INR,145741000000,INR,5697869820,46.3619
AIRTELPP.E1,Bharti Airtel Limited TEMP,1705,INR,0.824931255728692,47396,0.03762636360439224,11966534073145,INR,63.3133,INR,212.82820297445522,0.23768494860063,Communications,Neutral,37.6221000774061,7.82714031141956,13.8429225200608,36.5165921708909,23.9799705408324,8.81499436228117,5.265457485201493,0.12486961026220719,10.378282683861341,14234623073145,INR,7.314304029856613,13.058628301457265,63.3133,INR,63.3133,INR,,,0.12486961026220719,337.6775010355042,88.74653036355018,14.18639416775883,212.82820297445522,,,,,,,1729852000000,INR,335561000000,INR,1090055000000,INR,15.33699954127951,25.732459196639766,5.423896034579663,349.39199142895404,434098000000,INR,164.285368970663,INR,2080097000000,INR,1.7658468878399902,2.454186630764795,2.758894732681371,0.413465878614013,0.411063015313779,0.23768494860063,26.929570880052058,385426000000,INR,145741000000,INR,392287660,42.7376
TCS,Tata Consultancy Services Limited,3221.6,INR,0.4803193811989299,522471,0.22348267267261743,11749738839111,INR,136.644,INR,4.431243164669283,1.90916089299461,Technology services,Buy,47.5580780145255,29.397965767089,44.0281593559505,30.0065798749824,24.4328774419953,10.953372110999657,4.558693673528609,5.3621553001845195,,11336698839111,INR,4.3993895094498,16.461728896439514,136.644,INR,136.644,INR,134.19,INR,5.3621553001845195,6.602353438366625,1.393884892086342,-5.368160783957899,4.431243164669283,141.976785,INR,35.688638,INR,72.664503,INR,2553240000000,INR,485530000000,INR,688670000000,INR,5.9906265437351855,2.396551455827199,3.72337910052493,5.761523046092185,481710000000,INR,,,109320000000,INR,0.10272987830663001,0.13888354898336414,72.22006841505132,2.38618768540627,2.38123145937342,1.90916089299461,23.576593191065832,494390000000,INR,92480000000,INR,3618090000,28.212000000000003
ICICIBANK,ICICI Bank Limited,1345.3,INR,0.1787177004989101,652460,0.07080363734452033,9597275086955,INR,72.42,INR,9.46191051995164,0.819580523786462,Finance,Strong buy,17.3154091426004,2.04882880442363,10.1462468014607,,25.2528139928988,2.864057519420899,3.1907860101668013,1.9591917224073605,,10236371786955,INR,3.3551209826761625,,72.42,INR,75.0897,INR,66.3,INR,1.9591917224073605,14.743536024856724,2.0498614958448806,-1.5499732763228173,9.46191051995164,71.563719,INR,16.56,INR,34.12,INR,2930065763000,INR,510291955000,INR,,,24.205289360477302,4.392552769268417,2.1059849927651015,15.303608191032644,764961354000,INR,,,2152396700000.0002,INR,0.641447839756285,,,,,0.819580523786462,18.576360121513392,533002500000,INR,,,7150670000,97.20030000000001
SBIN,State Bank of India,983.25,INR,0.10690287110567649,1342709,0.21347865323171417,8984160546404,INR,89.7424,INR,11.928539268106222,1.63361758964348,Finance,Buy,15.6519546606735,1.10396779289364,7.05817829506751,,16.1587037993389,1.5942049381780863,1.301676531491014,0.9093450458801022,,11546887846404,INR,1.6727214032633377,,89.7424,INR,89.7424,INR,79.44,INR,0.9093450458801022,15.616976327755626,3.3054383867547936,-3.6074793106641607,11.928539268106222,81.63594,INR,18.3,INR,33.67,INR,6581801673000,INR,775613371000,INR,,,11.611326833537385,7.3841478982173525,5.333177397551569,15.61708749415688,1613295455000,INR,,,6503032700000,INR,1.14226105777093,,,,,1.63361758964348,10.956359535737844,807924200000,INR,,,9230620000,44.96820000000001
INFY,Infosys Limited,1623.6,INR,0.5076142131979582,740000,0.09191291201903541,6586332155826,INR,67.7487,INR,4.247694196792637,2.77025363211032,Technology services,Buy,29.0247841769311,18.6097601323408,27.2900170780935,26.3396527394319,21.479231854715,6.513428068221379,3.9725320381951894,5.634942988097959,17.201531205984224,6233642155826,INR,3.6785764943679258,15.208456513677174,67.7487,INR,67.8763,INR,64.34,INR,5.634942988097959,1.648992308810427,13.166742157944766,6.380171633153626,4.247694196792637,70.037864,INR,18.016284,INR,35.643300999999994,INR,1629900000000,INR,267130000000,INR,409880000000,INR,6.064944361293681,8.549260723173767,5.229546583410204,1.8297564136774291,354970000000,INR,94.3869461711157,INR,87550000000,INR,0.08472853963031071,0.20659953290977123,87.35265700483092,2.25891202206992,2.25891202206992,2.77025363211032,23.965035491455925,281240000000,INR,274040000000,INR,4054620000,85.03890000000001
BAJFINANCE,Bajaj Finance Limited,982.95,INR,-0.3901499797324594,1191064,0.20954769019248817,6155903716229,INR,29.445,INR,18.486177618606902,0.444758920448802,Finance,Buy,19.2626391636971,3.93310877395557,4.71836181235917,87.4466830933543,60.3639672614479,5.918929542970362,8.080074071043889,1.8174786961782383,,9336096716229,INR,12.246380450578444,27.36690566409054,29.445,INR,29.5053,INR,26.997938,INR,1.8174786961782383,13.652678370899608,1113.953488372093,3.7086092715231818,18.486177618606902,33.017694,INR,8.34,INR,17.21,INR,688594900000,INR,166378200000,INR,341145500000,INR,27.29309035195893,18.04782687282727,3.3440633683160472,15.131300787410293,252218100000,INR,,,3276351200000,INR,3.17434458893786,5.796961407145264,,6.63608571623293,6.63608571623293,0.444758920448802,33.38257768721345,183010800000,INR,37858200000,INR,6221863712,44.28830000000006
LT,Larsen & Toubro Limited,4126.5,INR,1.0530182441532998,379441,0.340557078253425,5573578889945,INR,119.18,INR,17.089599382229064,0.839133224739622,Industrial services,Strong buy,17.2069521652778,4.38656016819349,10.4731805393924,15.6569355983509,11.3499660773587,4.805541461836746,2.059698003647402,1.989455244632909,,6466589989945,INR,2.38864141365452,23.4454060838831,119.18,INR,138.9288,INR,109.28,INR,1.989455244632909,16.609846576597214,15.599675850891416,8.520349942944092,17.089599382229064,131.933807,INR,34.958111,INR,76.206276,INR,2554046400000,INR,150371100000,INR,275814800000,INR,15.607011560083754,10.444308124594466,6.7598665303997,15.14651457871172,35540600000,INR,,,1340011300000,INR,1.32172457957923,4.001894424805721,7.455008841196785,1.25240804796985,1.21058604926601,0.839133224739622,34.62409800302064,163993800000,INR,179189500000,INR,1375580000,85.4505
